n6FINALTeams,5,LincEl,Lincoln Elementary (5),9.0,22.0,35.0,29.0,26.0
n6FINALTeams,6,Readin,Reading (3),8.5,26.5,41.5,39.5,29.0
n6FINALTeams,7,Bethan,Bethany (2),7.5,17.0,29.0,42.5,23.0
n6FINALTeams,8,GrimKn,The Grim Knights (2),7.5,14.0,25.5,31.5,23.0
n6FINALTeams,9,StColu,St. Columban School (4),6.0,20.5,33.0,12.0,17.0
n6FINALTeams,10,BGCGC,BGCGC (2),5.0,14.0,22.0,12.0,15.0
n6FINALTeams,11,HolyFm,Holy Family School (2),4.5,19.5,29.0,19.5,14.5
n6FINALTeams,12,DetCCC,Detroit City Chess Club (2),4.0,16.0,26.0,13.0,14.0
n6FINALTeams,13,EthelT,Ethel Taylor Academy (3),4.0,15.0,24.0,8.5,11.5
n6FINALTeams,14,Master,Master Minds (2),4.0,12.5,21.0,12.0,10.0
n6FINALTeams,15,ReesPr,Rees E Price (3),2.5,19.0,31.5,5.0,8.0
n6FINALTeams,16,NorwdK,Norwood Knights (2),2.5,14.0,23.5,10.5,9.5
n6FINALTeams,17,Bellev,Bellevue Bishops (3),2.0,11.5,18.5,4.0,5.0
n79FINALTeams,1,MarsHl,Mars Hill Academy (4),12.5,27.5,42.5,67.0,39.5
n79FINALTeams,2,Dragon,Dragon Chess Center (4),11.5,25.0,43.0,60.0,35.0
n79FINALTeams,3,Lakota,Lakota (5),10.5,27.0,44.5,54.0,33.5
n79FINALTeams,4,Readin,Reading (3),10.5,22.0,37.0,44.5,28.5
n79FINALTeams,5,Mason,Mason (3),10.5,21.0,34.5,41.5,30.0
n79FINALTeams,6,DetCCC,Detroit City Chess Club (3),10.5,20.5,37.0,45.5,29.0
n79FINALTeams,7,Bellev,Bellevue Bishops (7),10.0,20.5,35.5,41.0,27.0
n79FINALTeams,8,ThreeR,Three Rivers (3),9.0,24.5,40.0,36.0,27.0
